Date : 2022-12-04 16:34:28
Directory : /Users/marcel/dev/devakademie/projekte/git/join
Total : 97 files,  8756 codes, 913 comments, 1412 blanks, all 11081 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| XML                |         58 |      3,392 |          0 |         58 |      3,450 |
| CSS                |         12 |      2,407 |        106 |        584 |      3,097 |
| JavaScript         |         10 |      1,956 |        781 |        514 |      3,251 |
| HTML               |         15 |        928 |         26 |        256 |      1,210 |
| JSON with Comments |          1 |         72 |          0 |          0 |         72 |
| JSON               |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |         97 |      8,756 |        913 |      1,412 |     11,081 |
| assets                                                                                   |         58 |      3,392 |          0 |         58 |      3,450 |
| assets/fonts                                                                             |          9 |      3,154 |          0 |          9 |      3,163 |
| favicon                                                                                  |          1 |          1 |          0 |          0 |          1 |
| script                                                                                   |         11 |      2,028 |        781 |        514 |      3,323 |
| style                                                                                    |         12 |      2,407 |        106 |        584 |      3,097 |
| templates                                                                                |          2 |        142 |          4 |         15 |        161 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                 | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/marcel/dev/devakademie/projekte/git/join/addTask.html                             | HTML               |        123 |          4 |          9 |        136 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/add-contact-blue-line.svg         | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/add-contact-img.svg               | XML                |         19 |          0 |          1 |         20 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/add-contact-logo.svg              | XML                |          8 |          0 |          1 |          9 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/add-contact.svg                   | XML                |          5 |          0 |          1 |          6 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/addTask.svg                       | XML                |          4 |          0 |          1 |          5 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/arrow-left-blue.svg               | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/blue-line-horizontal.svg          | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/blue-line-vertical.svg            | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/blue-plus.svg                     | XML                |          4 |          0 |          1 |          5 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/blue_line_horizontal.svg          | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/board.svg                         | XML                |          4 |          0 |          1 |          5 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/cancel-x.svg                      | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/checked-filled.svg                | XML                |          4 |          0 |          1 |          5 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/clear.svg                         | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/close.svg                         | XML                |          4 |          0 |          1 |          5 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/contact-break-line.svg            | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/contacts.svg                      | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/createTask.svg                    | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/email-sent.svg                    | XML                |         11 |          0 |          1 |         12 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/fonts/inter-v12-latin-100.svg     | XML                |        350 |          0 |          1 |        351 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/fonts/inter-v12-latin-200.svg     | XML                |        350 |          0 |          1 |        351 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/fonts/inter-v12-latin-300.svg     | XML                |        350 |          0 |          1 |        351 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/fonts/inter-v12-latin-500.svg     | XML                |        351 |          0 |          1 |        352 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/fonts/inter-v12-latin-600.svg     | XML                |        351 |          0 |          1 |        352 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/fonts/inter-v12-latin-700.svg     | XML                |        352 |          0 |          1 |        353 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/fonts/inter-v12-latin-800.svg     | XML                |        350 |          0 |          1 |        351 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/fonts/inter-v12-latin-900.svg     | XML                |        349 |          0 |          1 |        350 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/fonts/inter-v12-latin-regular.svg | XML                |        351 |          0 |          1 |        352 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/gray-line-vertical.svg            | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/help.svg                          | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/join-logo-white.svg               | XML                |          8 |          0 |          1 |          9 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/join-logo.svg                     | XML                |          8 |          0 |          1 |          9 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/legalNotice.svg                   | XML                |          4 |          0 |          1 |          5 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/little-check.svg                  | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/lock.svg                          | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/logo-big.svg                      | XML                |          8 |          0 |          1 |          9 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/logo-mobile.svg                   | XML                |          8 |          0 |          1 |          9 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/low.svg                           | XML                |          4 |          0 |          1 |          5 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/mail.svg                          | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/medium.svg                        | XML                |          4 |          0 |          1 |          5 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/mobile-add-task-cross.svg         | XML                |          4 |          0 |          1 |          5 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/mobile-animation-logo.svg         | XML                |          8 |          0 |          1 |          9 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/mobile-back-arrow.svg             | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/mobile-contact-edir.svg           | XML                |          5 |          0 |          1 |          6 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/mobile-logo.svg                   | XML                |          8 |          0 |          1 |          9 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/pen-small.svg                     | XML                |          4 |          0 |          1 |          5 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/pencil-filled-square.svg          | XML                |          5 |          0 |          1 |          6 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/pencil-filled.svg                 | XML                |          5 |          0 |          1 |          6 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/phone.svg                         | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/plus-black.svg                    | XML                |          4 |          0 |          1 |          5 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/plus-white.svg                    | XML                |          4 |          0 |          1 |          5 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/pop-up-cross.svg                  | XML                |          4 |          0 |          1 |          5 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/profile.svg                       | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/search.svg                        | XML                |          4 |          0 |          1 |          5 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/selectArrow.svg                   | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/summary.svg                       | XML                |          3 |          0 |          1 |          4 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/urgent-high-filled.svg            | XML                |         12 |          0 |          1 |         13 |
| /Users/marcel/dev/devakademie/projekte/git/join/assets/urgent.svg                        | XML                |          4 |          0 |          1 |          5 |
| /Users/marcel/dev/devakademie/projekte/git/join/board.html                               | HTML               |         73 |          0 |          6 |         79 |
| /Users/marcel/dev/devakademie/projekte/git/join/contacts.html                            | HTML               |         98 |          0 |         41 |        139 |
| /Users/marcel/dev/devakademie/projekte/git/join/datenschutz.html                         | HTML               |         36 |          0 |          4 |         40 |
| /Users/marcel/dev/devakademie/projekte/git/join/email_sent.html                          | HTML               |         23 |          0 |          8 |         31 |
| /Users/marcel/dev/devakademie/projekte/git/join/favicon/site.webmanifest                 | JSON               |          1 |          0 |          0 |          1 |
